path,file,objects,counters,max_int,init_nonzero_fraction,goals,domain,distribution,rover,waypoint,objective,camera,visible_edges,traverse_edges
problems/numeric/fo-counters/instances/instance_2.pddl,instance_2.pddl,2,2,4,0.0,1,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_3.pddl,instance_3.pddl,3,3,6,0.0,2,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_4.pddl,instance_4.pddl,4,4,8,0.0,3,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_5.pddl,instance_5.pddl,5,5,10,0.0,4,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_6.pddl,instance_6.pddl,6,6,12,0.0,5,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_7.pddl,instance_7.pddl,7,7,14,0.0,6,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_8.pddl,instance_8.pddl,8,8,16,0.0,7,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_9.pddl,instance_9.pddl,9,9,18,0.0,8,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_10.pddl,instance_10.pddl,10,10,20,0.0,9,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_11.pddl,instance_11.pddl,11,11,22,0.0,10,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_12.pddl,instance_12.pddl,12,12,24,0.0,11,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_13.pddl,instance_13.pddl,13,13,26,0.0,12,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_14.pddl,instance_14.pddl,14,14,28,0.0,13,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_15.pddl,instance_15.pddl,15,15,30,0.0,14,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_16.pddl,instance_16.pddl,16,16,32,0.0,15,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_17.pddl,instance_17.pddl,17,17,34,0.0,16,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_18.pddl,instance_18.pddl,18,18,36,0.0,17,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_19.pddl,instance_19.pddl,19,19,38,0.0,18,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_20.pddl,instance_20.pddl,20,20,40,0.0,19,fo_counters,paper_test,,,,,,
problems/numeric/fo-counters/instances/instance_21.pddl,instance_21.pddl,21,21,42,0.0,20,fo_counters,paper_test,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile0.pddl,pfile0.pddl,4,4,10,0.75,3,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile1.pddl,pfile1.pddl,4,4,10,1.0,3,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile2.pddl,pfile2.pddl,4,4,10,1.0,3,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile3.pddl,pfile3.pddl,3,3,10,1.0,2,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile4.pddl,pfile4.pddl,3,3,10,1.0,2,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile5.pddl,pfile5.pddl,4,4,10,1.0,3,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile6.pddl,pfile6.pddl,2,2,10,1.0,1,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile7.pddl,pfile7.pddl,2,2,10,1.0,1,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile8.pddl,pfile8.pddl,2,2,10,1.0,1,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_easy/pfile9.pddl,pfile9.pddl,4,4,10,0.75,3,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_hard/pfile0.pddl,pfile0.pddl,14,14,40,1.0,13,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_hard/pfile1.pddl,pfile1.pddl,16,16,40,1.0,15,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_hard/pfile2.pddl,pfile2.pddl,11,11,40,0.9090909090909091,10,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_hard/pfile3.pddl,pfile3.pddl,10,10,40,1.0,9,fo_counters,thesis_validation,,,,,,
problem_generator/generated_validation_instances/fo-counters/valid_hard/pfile4.pddl,pfile4.pddl,14,14,40,0.9285714285714286,13,fo_counters,thesis_validation,,,,,,
